nazwa_zmiennej;kraj;typ_informacji_z_jednostka_miary;rok;miesiac;wartosc;data
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2011;1;12.4;1-2011
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2011;2;12.5;2-2011
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2011;3;12.5;3-2011
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2011;4;12.5;4-2011
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2011;5;12.4;5-2011
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2011;6;12.3;6-2011
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2011;7;12.3;7-2011
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2011;8;12.3;8-2011
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2011;9;12.3;9-2011
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2011;10;12.3;10-2011
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2011;11;12.4;11-2011
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2011;12;12.4;12-2011
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2012;1;12.5;1-2012
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2012;2;12.5;2-2012
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2012;3;12.6;3-2012
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2012;4;12.6;4-2012
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2012;5;12.6;5-2012
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2012;6;12.7;6-2012
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2012;7;12.8;7-2012
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2012;8;12.9;8-2012
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2012;9;12.9;9-2012
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2012;10;13;10-2012
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2012;11;13.2;11-2012
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2012;12;13.3;12-2012
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2013;1;13.4;1-2013
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2013;2;13.4;2-2013
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2013;3;13.5;3-2013
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2013;4;13.7;4-2013
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2013;5;13.6;5-2013
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2013;6;13.7;6-2013
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2013;7;13.6;7-2013
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2013;8;13.5;8-2013
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2013;9;13.5;9-2013
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2013;10;13.5;10-2013
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2013;11;13.5;11-2013
Stopa bezrobocia  rejestrowanego;Polska;relacja, wyrównana sezonowo [%];2013;12;13.3;12-2013
